195,whiskey,1,3
129,dates,2,2
106,pita,1,2
120,strawberries,3,2
171,tahini,3,3
138,nuts,6,2
80,chicken,139,3
190,bamboo,4,3
54,ginger,46,3
47,rice,21,2
115,mango,2,2
148,shortening,4,2
110,blueberries,6,2
99,beans,73,2
46,raisins,6,2
48,sour cream,30,2
28,noodles,22,2
36,tomato sauce,19,2
94,pecan,17,2
174,cauliflower,1,3
77,beef broth,0,3
125,sausage,19,3
151,vegetable broth,13,2
140,coconut,3,3
162,artichoke,7,3
30,paprika,26,2
119,spaghetti,15,2
153,anchovy,2,3
95,salad,4,2
73,sesame,7,2
122,seasoning,31,2
53,banana,12,2
62,celery,32,2
123,fish sauce,0,2
92,mushroom,60,3
180,steak,6,3
127,asparagus,3,3
20,cilantro,36,2
44,milk,79,2
58,wine,41,3
26,lime,28,2
117,quinoa,4,3
185,capers,8,2
111,broccoli,12,2
168,bulgur,1,2
136,bread,43,2
22,egg,122,2
91,mayonnaise,17,2
70,lentils,6,2
45,mozzarella,1,2
27,lettuce,12,2
155,tarragon,5,3
60,carrot,33,2
165,clam,1,3
149,tofu,4,3
93,olive,17,3
105,mint,8,2
21,cucumber,8,2
152,corn,28,2
75,shrimp,14,3
124,sauce,60,2
187,fish,2,3
114,kale,4,2
43,macaroni,5,2
191,lamb,2,3
166,crab,2,2
126,almond,10,2
135,bread crumbs,0,2
194,tequila,1,3
132,pasta,32,2
112,chickpeas,3,3
3,cinnamon,43,2
131,jam,3,2
61,cashew,1,3
176,peach,4,2
96,salsa,15,2
87,bay leaf,15,3
67,heavy cream,15,2
178,raspberries,1,2
107,salmon,9,3
66,ham,17,2
142,grapes,3,2
147,poppy,2,2
89,cocoa,8,3
160,sherry,6,3
121,yogurt,6,2
50,vanilla extract,43,2
161,scallop,1,3
108,sriracha,1,3
154,heavy whipping cream,3,2
57,nutmeg,13,3
109,tuna,5,3
51,walnuts,12,3
35,soy sauce,53,2
65,curry,14,3
76,vodka,1,3
69,kiwi,3,3
37,tomato paste,0,2
85,pumpkin,12,2
173,beer,6,3
34,turmeric,11,3
81,hoisin sauce,3,2
12,zucchini,13,3
188,radish,3,3
79,chicken broth,0,3
164,apricot,1,2
90,coffee,2,3
18,cheese,212,2
134,turkey,3,3
78,beef,56,3
59,apple,30,2
139,chili,26,3
146,peas,9,2
192,rum,3,3
98,bacon,18,2
133,pesto,2,2
193,sake,3,3
150,tortilla,7,2
167,mussel,1,2
113,cranberries,5,2
116,orange,11,2
183,wonton,4,3
24,lasagna,5,3
55,honey,25,2
88,cabbage,14,2
130,dough,7,2
128,cod,6,3
74,spinach,19,2
6,avocado,8,3
71,peanuts,6,3
159,sage,5,2
72,pork,28,3
41,potatoes,39,2
177,pear,2,2
141,duck,3,3
144,lobster,2,3
